Production ID,Production Date,Factory,Production Line,Shift,Machine ID,Machine Type,Operator ID,Product Category,Planned Production,Actual Production,Defective Units,Downtime (Minutes),Production Hours,Energy Consumption (kWh),Maintenance Cost ($),Unit Production Cost ($),Temperature (°C),Humidity (%),Quality Inspection Score
P00043,2025-05-26,Factory B,Line D,Afternoon,M122,Automatic,OP1007,Washing Machine,186,128,7,14.0,8,710,1280.19,270.23,31.7,44,66.0
P00044,2025-02-13,Factory A,Line A,Night,M127,Manual,OP1077,Air Conditioner,468,445,14,99.0,12,761,2280.41,151.38,29.8,62,72.2
P00045,2025-11-09,Factory C,Line A,Morning,M114,Semi-Automatic,OP1085,Refrigerator,497,505,10,30.0,9,865,280.16,26.14,27.0,73,78.8
P00046,2025-05-28,Factory C,Line C,Night,M130,Automatic,OP1088,Television,196,182,14,33.0,9,735,375.46,120.54,21.0,52,93.1
P00047,2025-03-26,Factory B,Line C,Afternoon,M108,Semi-Automatic,OP1089,Washing Machine,216,224,12,120.0,10,812,1395.96,211.05,30.0,62,89.4
P00048,2025-01-14,Factory A,Line B,Night,M137,Manual,OP1003,Washing Machine,489,472,36,5.0,9,781,1345.51,212.95,23.6,72,77.4
P00049,2025-08-29,Factory B,Line D,Afternoon,M121,Manual,OP1014,Television,431,435,21,52.0,12,595,1690.2,195.19,33.2,37,78.2
P00050,2025-06-15,Factory A,Line D,Night,M101,Manual,OP1070,Microwave,341,324,13,6.0,9,830,968.27,346.49,30.5,83,62.1
P00051,2025-03-09,Factory B,Line D,Night,M132,Automatic,OP1004,Air Conditioner,316,261,7,90.0,9,618,1422.01,259.71,19.9,42,78.5
P00052,2025-09-13,Factory C,Line C,Night,M118,Semi-Automatic,OP1062,Microwave,240,236,7,58.0,9,692,557.46,279.74,32.9,43,94.6
P00053,2025-06-24,Factory C,Line C,Morning,M119,Manual,OP1039,Air Conditioner,321,283,18,84.0,12,1186,456.63,253.9,24.9,70,90.5
P00054,2025-06-14,Factory A,Line B,Night,M125,Automatic,OP1100,Microwave,373,330,1,40.0,12,1022,2292.23,187.02,37.8,85,92.8
P00055,2025-01-19,Factory A,Line C,Morning,M129,Automatic,OP1068,Microwave,257,209,0,92.0,9,719,2190.24,437.23,19.5,85,98.8
P00056,2025-11-29,Factory A,Line C,Night,M135,Semi-Automatic,OP1041,Microwave,353,318,17,4.0,8,540,1614.79,416.39,37.9,82,63.6
P00057,2025-08-16,Factory A,Line C,Morning,M103,Semi-Automatic,OP1008,Washing Machine,230,233,11,47.0,12,449,686.07,200.12,31.6,46,66.8
P00058,2025-11-14,Factory C,Line B,Afternoon,M138,Automatic,OP1030,Microwave,220,187,10,32.0,12,561,1700.42,407.04,27.3,53,87.1
P00059,2025-08-15,Factory B,Line C,Night,M128,Manual,OP1033,Microwave,260,266,9,25.0,12,1173,1259.7,125.81,29.4,71,71.8
P00060,2025-12-04,Factory B,Line C,Morning,M137,Manual,OP1100,Refrigerator,331,344,19,95.0,12,1152,2269.97,146.63,34.0,73,92.1
P00061,2025-11-14,Factory B,Line B,Night,M107,Manual,OP1083,Refrigerator,292,283,9,100.0,12,334,1490.98,336.25,19.8,53,73.1
P00062,2025-04-13,Factory A,Line C,Night,M133,Semi-Automatic,OP1022,Washing Machine,392,385,29,105.0,12,1125,808.34,394.92,34.1,64,98.5
P00063,2025-12-13,Factory C,Line D,Night,M124,Automatic,OP1051,Refrigerator,252,239,8,68.0,8,765,984.61,343.33,23.2,59,92.9
P00064,2025-12-12,Factory A,Line D,Morning,M140,Manual,OP1042,Air Conditioner,370,372,7,82.0,8,950,2077.25,411.49,24.0,61,64.7
P00065,2025-06-05,Factory B,Line A,Morning,M116,Manual,OP1018,Microwave,203,214,14,47.0,12,901,1881.45,90.67,26.3,41,93.3
P00066,2025-05-24,Factory A,Line C,Morning,M129,Semi-Automatic,OP1031,Washing Machine,495,458,6,87.0,10,857,2264.07,299.05,19.2,52,67.6
P00067,2025-02-16,Factory C,Line B,Night,M139,Automatic,OP1007,Washing Machine,242,199,7,16.0,9,370,2091.56,260.54,29.7,49,73.1
P00068,2025-05-22,Factory A,Line B,Night,M117,Automatic,OP1015,Refrigerator,255,270,4,1.0,10,1108,1992.24,275.26,18.3,51,62.1
P00069,2025-02-28,Factory C,Line A,Afternoon,M129,Semi-Automatic,OP1066,Air Conditioner,395,343,3,57.0,9,929,204.08,357.87,35.3,68,72.1
P00070,2025-09-03,Factory B,Line D,Night,M107,Semi-Automatic,OP1092,Microwave,195,203,2,115.0,8,629,1559.91,52.91,23.5,75,83.4
P00071,2025-11-02,Factory C,Line C,Afternoon,M133,Manual,OP1056,Refrigerator,346,313,25,89.0,8,1173,1671.31,398.03,29.0,48,77.2
P00072,2025-06-23,Factory B,Line D,Afternoon,M107,Semi-Automatic,OP1055,Washing Machine,296,259,8,47.0,9,1003,2315.16,53.53,34.6,40,77.3
P00073,2025-10-12,Factory A,Line C,Night,M108,Semi-Automatic,OP1046,Microwave,370,369,27,117.0,8,594,1540.98,174.45,29.6,48,66.2
P00074,2025-02-25,Factory B,Line C,Morning,M118,Manual,OP1029,Microwave,426,413,1,77.0,10,329,533.0,323.65,24.2,56,74.0
P00075,2025-10-17,Factory C,Line D,Morning,M110,Manual,OP1082,Refrigerator,272,269,2,95.0,9,685,1107.6,169.88,25.4,81,73.0
P00076,2025-01-27,Factory A,Line B,Night,M104,Manual,OP1011,Washing Machine,470,475,28,84.0,12,797,1556.98,201.03,22.3,67,64.6
P00077,2025-05-26,Factory C,Line D,Night,M120,Automatic,OP1029,Microwave,400,401,3,0.0,9,608,2368.78,351.12,33.3,53,73.1
P00078,2025-08-09,Factory A,Line B,Afternoon,M135,Manual,OP1030,Air Conditioner,183,135,8,106.0,10,373,1052.97,340.37,26.7,64,96.8
P00079,2025-08-08,Factory C,Line D,Night,M127,Semi-Automatic,OP1015,Microwave,340,282,0,41.0,9,1120,2374.27,220.54,31.8,58,63.5
P00080,2025-08-12,Factory C,Line D,Night,M106,Semi-Automatic,OP1040,Washing Machine,234,218,7,42.0,9,378,1325.16,73.46,28.2,84,74.0
P00081,2025-02-22,Factory A,Line C,Morning,M112,Manual,OP1020,Refrigerator,255,240,5,98.0,12,775,1910.67,347.95,27.0,71,85.7
P00082,2025-11-18,Factory B,Line B,Afternoon,M105,Semi-Automatic,OP1057,Washing Machine,499,473,17,75.0,8,660,1317.61,156.92,27.0,38,74.7
P00083,2025-11-27,Factory A,Line D,Afternoon,M138,Manual,OP1095,Refrigerator,326,332,14,116.0,9,629,1552.01,238.08,37.2,63,64.1
P00084,2025-09-16,Factory C,Line B,Morning,M116,Manual,OP1057,Microwave,355,360,16,66.0,9,672,994.84,145.23,26.2,56,87.2
P00085,2025-02-03,Factory B,Line A,Night,M125,Semi-Automatic,OP1033,Air Conditioner,206,179,13,19.0,10,383,1498.57,85.11,25.0,76,87.9
P00086,2025-11-01,Factory C,Line A,Afternoon,M136,Semi-Automatic,OP1083,Washing Machine,380,379,26,16.0,8,961,1709.09,241.11,18.4,54,67.2
P00087,2025-09-06,Factory A,Line B,Morning,M110,Automatic,OP1038,Refrigerator,289,261,16,98.0,8,977,908.23,350.68,20.6,59,66.2
P00088,2025-08-13,Factory A,Line D,Afternoon,M116,Semi-Automatic,OP1079,Washing Machine,272,266,14,29.0,9,616,2417.43,358.36,36.1,47,74.7
P00089,2025-08-25,Factory B,Line D,Night,M134,Semi-Automatic,OP1021,Television,472,431,8,111.0,10,353,1638.83,396.5,29.1,41,88.5
P00090,2025-05-26,Factory A,Line B,Afternoon,M129,Manual,OP1019,Microwave,444,444,5,116.0,9,1136,1182.71,173.57,18.5,38,75.9
P00091,2025-07-17,Factory A,Line C,Morning,M102,Semi-Automatic,OP1013,Washing Machine,371,356,25,18.0,9,339,788.51,377.65,31.9,43,90.4
P00092,2025-11-12,Factory A,Line A,Morning,M117,Automatic,OP1020,Air Conditioner,420,378,30,93.0,12,413,1962.81,126.0,20.4,50,76.8
P00093,2025-02-02,Factory A,Line D,Night,M135,Automatic,OP1081,Air Conditioner,498,455,36,30.0,9,598,1130.17,286.29,22.8,61,67.5
P00094,2025-07-04,Factory A,Line A,Afternoon,M131,Automatic,OP1082,Microwave,223,171,5,32.0,8,665,1992.45,171.54,32.7,75,64.1
P00095,2025-03-10,Factory A,Line C,Night,M122,Manual,OP1023,Microwave,477,450,30,,9,1130,423.65,329.32,36.9,37,
P00096,2025-01-22,Factory B,Line C,Night,M126,Manual,OP1061,Washing Machine,202,192,1,96.0,9,592,956.74,356.86,35.3,56,70.9
P00097,2025-07-24,Factory C,Line D,Afternoon,M122,Automatic,OP1064,Microwave,368,328,11,118.0,10,1120,298.27,205.41,26.6,46,81.8
P00098,2025-02-10,Factory B,Line C,Afternoon,M129,Manual,OP1092,Microwave,344,346,5,88.0,12,659,1173.11,333.9,36.2,74,99.9
P00099,2025-02-08,Factory C,Line D,Afternoon,M133,Manual,OP1087,Television,320,328,0,18.0,12,335,402.95,125.3,30.9,58,75.3
P00100,2025-11-06,Factory A,Line D,Afternoon,M124,Semi-Automatic,OP1098,Refrigerator,470,481,36,17.0,10,707,854.53,143.44,37.2,36,89.4
P00101,2025-07-18,Factory C,Line A,Afternoon,M117,Manual,OP1058,Television,435,384,19,36.0,12,504,394.33,387.45,27.0,80,77.8
P00102,2025-12-08,Factory B,Line A,Night,M135,Semi-Automatic,OP1039,Television,224,199,5,101.0,10,820,638.18,443.68,33.8,50,91.6
P00103,2025-10-11,Factory C,Line C,Afternoon,M136,Automatic,OP1079,Refrigerator,193,162,1,39.0,12,1034,1825.29,248.42,33.4,71,63.0
P00104,2025-08-19,Factory B,Line C,Morning,M136,Manual,OP1076,Television,342,348,24,16.0,12,814,2285.71,48.55,20.5,44,72.2
P00105,2025-12-30,Factory A,Line C,Night,M119,Automatic,OP1033,Television,262,236,17,35.0,9,940,826.78,251.73,28.1,45,83.7
P00106,2025-03-29,Factory C,Line C,Night,M103,Automatic,OP1011,Refrigerator,477,473,36,33.0,9,1085,1473.13,287.7,18.6,75,81.8
P00107,2025-05-06,Factory C,Line D,Afternoon,M130,Automatic,OP1089,Refrigerator,334,288,5,56.0,12,795,1214.66,169.58,20.9,80,72.8
P00108,2025-03-08,Factory B,Line A,Afternoon,M116,Semi-Automatic,OP1016,Washing Machine,356,320,14,31.0,9,399,221.45,426.79,35.3,61,69.9
P00109,2025-10-23,Factory C,Line C,Morning,M111,Semi-Automatic,OP1066,Microwave,261,235,15,112.0,10,809,155.62,426.72,28.1,50,68.6
P00110,2025-01-26,Factory B,Line D,Night,M131,Semi-Automatic,OP1069,Refrigerator,360,369,27,13.0,12,437,2217.89,334.19,33.3,58,61.8
P00111,2025-10-15,Factory A,Line C,Night,M119,Automatic,OP1050,Air Conditioner,206,149,7,97.0,10,1145,2473.82,314.17,20.4,41,75.8
P00112,2025-07-07,Factory A,Line B,Night,M133,Semi-Automatic,OP1065,Refrigerator,353,297,1,4.0,9,1030,899.3,226.34,27.1,73,95.7
P00113,2025-11-10,Factory B,Line B,Afternoon,M140,Manual,OP1039,Air Conditioner,251,225,10,64.0,12,1025,1451.02,226.83,18.3,56,87.0
P00114,2025-06-07,Factory C,Line A,Night,M131,Semi-Automatic,OP1084,Air Conditioner,393,334,18,29.0,8,897,1253.08,247.8,32.4,84,93.6
P00115,2025-01-17,Factory C,Line A,Morning,M102,Semi-Automatic,OP1041,Microwave,255,239,4,52.0,9,720,1304.37,284.88,27.4,82,89.1
P00116,2025-04-17,Factory C,Line C,Night,M131,Manual,OP1049,Washing Machine,250,199,5,58.0,10,859,950.29,353.1,32.4,76,92.1
P00117,2025-04-09,Factory A,Line C,Night,M120,Automatic,OP1039,Washing Machine,315,269,6,88.0,12,624,1251.53,263.21,36.7,81,70.9
P00118,2025-12-13,Factory C,Line D,Afternoon,M123,Automatic,OP1038,Refrigerator,242,184,4,91.0,8,654,2317.62,303.79,32.9,48,68.1
P00119,2025-10-15,Factory C,Line C,Morning,M107,Manual,OP1095,Air Conditioner,455,436,15,31.0,8,985,2272.44,120.91,22.7,41,76.5
P00120,2025-12-15,Factory A,Line A,Night,M111,Semi-Automatic,OP1084,Microwave,421,424,30,83.0,9,1074,2413.39,161.5,30.9,84,63.6
P00121,2025-10-01,Factory C,Line A,Morning,M127,Automatic,OP1005,Microwave,473,459,31,23.0,10,1197,189.92,151.82,30.1,56,71.4
P00122,2025-09-10,Factory A,Line D,Afternoon,M113,Automatic,OP1043,Television,458,406,29,82.0,10,1035,546.88,338.06,33.8,71,87.0
P00123,2025-11-09,Factory C,Line D,Afternoon,M133,Semi-Automatic,OP1012,Microwave,278,271,21,12.0,9,443,1245.89,422.73,18.1,59,69.4
P00124,2025-06-04,Factory C,Line A,Afternoon,M124,Manual,OP1031,Refrigerator,316,289,21,15.0,12,614,483.32,316.58,36.5,80,90.8
P00125,2025-07-08,Factory C,Line B,Morning,M109,Semi-Automatic,OP1020,Microwave,240,218,11,53.0,12,1075,1390.04,307.24,22.4,50,87.2
P00126,2025-09-27,Factory B,Line C,Morning,M137,Automatic,OP1008,Air Conditioner,485,490,32,25.0,9,468,887.48,246.15,20.3,48,88.7
P00127,2025-09-19,Factory B,Line A,Afternoon,M109,Manual,OP1054,Microwave,430,434,3,71.0,12,988,2036.6,332.39,25.9,35,89.8
P00128,2025-01-24,Factory B,Line C,Night,M105,Manual,OP1008,Refrigerator,476,482,30,4.0,10,718,531.96,82.56,30.8,81,85.8
P00129,2025-07-15,Factory B,Line D,Afternoon,M106,Manual,OP1085,Air Conditioner,395,363,4,83.0,10,421,528.34,253.33,28.6,81,99.1
P00130,2025-06-02,Factory B,Line D,Night,M125,Automatic,OP1032,Microwave,181,194,11,19.0,10,493,2349.78,333.14,20.3,77,76.8
P00131,2025-04-16,Factory A,Line A,Night,M103,Semi-Automatic,OP1077,Refrigerator,188,173,3,94.0,8,711,1153.51,254.4,33.1,84,62.3
P00132,2025-04-30,Factory C,Line C,Night,M139,Manual,OP1042,Television,437,415,19,112.0,9,976,1351.0,200.76,23.5,70,97.9
P00133,2025-10-12,Factory B,Line A,Afternoon,M125,Manual,OP1041,Microwave,269,230,13,19.0,10,685,541.31,253.62,22.8,49,72.0
P00134,2025-01-30,Factory C,Line D,Afternoon,M136,Manual,OP1018,Microwave,253,209,7,32.0,9,638,1652.09,416.95,34.9,40,81.4
P00135,2025-05-18,Factory B,Line A,Morning,M113,Manual,OP1093,Air Conditioner,277,286,6,61.0,9,1190,2276.88,153.85,36.2,48,97.5
P00136,2025-05-05,Factory C,Line B,Afternoon,M116,Manual,OP1042,Washing Machine,240,194,12,59.0,10,615,727.75,242.95,27.9,41,92.1
P00137,2025-04-15,Factory B,Line C,Afternoon,M103,Manual,OP1029,Television,420,395,1,33.0,12,602,465.79,165.19,25.6,50,80.0
P00138,2025-09-08,Factory C,Line D,Afternoon,M111,Manual,OP1046,Television,352,335,4,92.0,12,488,2300.56,255.41,30.8,38,81.0
P00139,2025-01-04,Factory B,Line B,Night,M115,Automatic,OP1091,Television,218,227,0,27.0,12,682,245.08,296.03,36.7,65,86.4
P00140,2025-09-30,Factory C,Line D,Morning,M102,Manual,OP1093,Washing Machine,188,203,9,2.0,12,1125,2355.31,101.19,36.4,68,66.0
P00141,2025-05-10,Factory B,Line C,Afternoon,M106,Semi-Automatic,OP1052,Microwave,278,226,18,31.0,9,607,1741.7,385.34,31.1,76,90.4
P00142,2025-07-14,Factory B,Line D,Morning,M101,Manual,OP1022,Refrigerator,227,191,15,108.0,12,960,1982.5,265.49,35.2,41,95.8
P00143,2025-04-19,Factory C,Line D,Afternoon,M103,Automatic,OP1088,Washing Machine,201,187,14,69.0,8,483,2329.04,158.66,37.2,72,65.8
P00144,2025-06-03,Factory A,Line B,Night,M125,Manual,OP1070,Washing Machine,383,389,24,96.0,9,1109,2472.35,332.77,28.0,57,62.1
P00145,2025-02-08,Factory B,Line D,Afternoon,M102,Manual,OP1035,Microwave,403,389,31,29.0,10,866,2358.74,208.54,31.6,77,75.2
P00146,2025-05-07,Factory C,Line A,Morning,M118,Automatic,OP1049,Television,496,474,24,40.0,10,409,319.65,425.76,26.9,83,70.8
P00147,2025-04-06,Factory B,Line D,Night,M136,Manual,OP1053,Refrigerator,247,251,0,11.0,10,867,323.35,279.17,24.5,59,60.5
P00148,2025-02-13,Factory C,Line B,Night,M134,Automatic,OP1088,Microwave,391,357,5,17.0,10,608,744.18,87.02,21.3,52,76.8
P00149,2025-07-04,Factory B,Line B,Night,M132,Manual,OP1079,Television,427,433,29,13.0,9,611,116.24,193.17,34.8,59,92.2
P00150,2025-06-21,Factory B,Line B,Afternoon,M121,Manual,OP1089,Television,348,307,15,40.0,9,707,2424.94,148.87,31.9,66,98.7
P00151,2025-07-12,Factory B,Line D,Afternoon,M108,Manual,OP1026,Air Conditioner,304,278,17,23.0,8,1044,1207.89,326.06,26.8,53,93.3
P00152,2025-12-11,Factory B,Line B,Night,M120,Automatic,OP1033,Television,215,178,11,54.0,12,375,1177.76,279.12,29.6,69,80.3
P00153,2025-01-19,Factory B,Line A,Morning,M116,Manual,OP1086,Washing Machine,394,340,5,82.0,8,876,2460.66,312.93,26.0,83,73.3
P00154,2025-01-06,Factory A,Line C,Morning,M133,Manual,OP1067,Air Conditioner,400,402,14,57.0,10,700,1211.35,313.81,31.8,44,73.8
P00155,2025-02-23,Factory B,Line D,Morning,M108,Manual,OP1019,Washing Machine,192,146,4,43.0,12,1103,596.48,230.24,27.5,63,88.9
P00156,2025-02-04,Factory B,Line A,Night,M108,Automatic,OP1044,Refrigerator,411,386,21,102.0,9,1058,685.39,99.14,21.2,70,77.1
P00157,2025-07-27,Factory C,Line B,Morning,M128,Semi-Automatic,OP1004,Air Conditioner,416,402,12,57.0,12,698,110.68,116.29,23.6,80,92.3
P00158,2025-02-22,Factory C,Line B,Afternoon,M121,Automatic,OP1059,Refrigerator,212,154,4,85.0,12,840,2418.2,158.2,25.8,60,83.5
P00159,2025-08-23,Factory C,Line B,Night,M120,Manual,OP1076,Refrigerator,358,328,21,17.0,10,420,672.57,74.7,25.5,44,80.4
P00160,2025-10-22,Factory B,Line D,Morning,M132,Manual,OP1069,Television,394,392,10,62.0,10,443,549.04,382.84,30.4,57,98.1
P00161,2025-04-10,Factory B,Line D,Afternoon,M132,Semi-Automatic,OP1091,Microwave,428,426,31,21.0,8,878,174.07,348.45,23.8,52,69.0
P00162,2025-08-23,Factory C,Line D,Night,M133,Automatic,OP1074,Refrigerator,327,321,8,99.0,10,855,2074.27,42.68,32.4,69,68.7
P00163,2025-12-01,Factory A,Line C,Morning,M129,Semi-Automatic,OP1045,Refrigerator,397,399,28,110.0,8,1094,2048.53,114.2,32.8,79,74.0
P00164,2025-03-26,Factory C,Line B,Morning,M114,Automatic,OP1073,Washing Machine,492,453,34,35.0,9,631,2449.6,149.37,29.5,67,99.4
P00165,2025-07-30,Factory A,Line C,Night,M109,Manual,OP1017,Television,228,226,4,91.0,10,1148,694.13,383.51,25.9,44,83.1
P00166,2025-07-12,Factory B,Line A,Night,M106,Semi-Automatic,OP1066,Washing Machine,317,279,22,119.0,10,765,2380.61,164.1,18.0,84,93.9
P00167,2025-11-22,Factory C,Line C,Morning,M135,Semi-Automatic,OP1028,Microwave,227,184,13,27.0,12,574,874.88,145.53,28.9,43,82.6
P00168,2025-12-16,Factory A,Line A,Morning,M130,Automatic,OP1016,Television,428,400,28,58.0,8,738,585.56,317.65,20.6,76,72.1
P00169,2025-12-02,Factory B,Line C,Morning,M124,Manual,OP1084,Television,320,324,1,50.0,10,1043,1778.66,124.51,31.1,80,63.8
P00170,2025-02-09,Factory A,Line B,Night,M129,Automatic,OP1002,Washing Machine,289,243,3,110.0,12,1010,417.22,55.1,25.7,81,92.2
P00171,2025-07-08,Factory B,Line B,Afternoon,M109,Manual,OP1087,Television,232,207,2,,8,924,1660.05,212.04,32.4,75,
P00172,2025-04-22,Factory A,Line A,Morning,M108,Manual,OP1094,Microwave,390,349,11,54.0,10,1110,435.59,142.71,19.7,70,84.0
P00173,2025-12-20,Factory A,Line C,Morning,M134,Manual,OP1066,Television,491,470,25,37.0,8,1102,2254.99,430.74,27.9,42,69.6
P00174,2025-09-28,Factory A,Line C,Afternoon,M109,Semi-Automatic,OP1073,Microwave,484,490,23,69.0,9,1081,1230.44,444.63,19.5,72,62.7
P00175,2025-01-21,Factory A,Line D,Night,M119,Manual,OP1092,Air Conditioner,314,302,24,53.0,12,1018,1065.47,297.23,28.8,44,71.1
P00176,2025-09-19,Factory A,Line B,Night,M121,Semi-Automatic,OP1076,Refrigerator,338,343,9,89.0,12,1047,2388.23,126.42,22.9,62,64.6
P00177,2025-06-08,Factory C,Line B,Morning,M101,Manual,OP1018,Refrigerator,493,501,10,63.0,10,835,1341.33,374.57,23.2,58,65.1
P00178,2025-01-16,Factory B,Line D,Afternoon,M134,Automatic,OP1034,Air Conditioner,317,317,20,9.0,12,766,1325.88,48.56,35.2,45,74.7
